timestamp,component,metric,value,label.profile,label.run_id,label.provider,label.target_rate,elapsed_s
2026-08-10 16:50:59.748247+00:00,generator,events_sent,15.0,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.15
2026-08-10 16:50:59.749249+00:00,generator,throughput_eps,435.25706593522324,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.15
2026-08-10 16:50:59.750248+00:00,generator,events_sent,16.0,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.15
2026-08-10 16:50:59.751253+00:00,generator,throughput_eps,437.3394599610531,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.15
2026-08-10 16:50:59.752769+00:00,generator,events_sent,17.0,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.15
2026-08-10 16:50:59.752769+00:00,generator,throughput_eps,440.14326663975976,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.15
2026-08-10 16:50:59.755203+00:00,generator,events_sent,18.0,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.15
2026-08-10 16:50:59.755203+00:00,generator,throughput_eps,439.00763615572447,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.15
2026-08-10 16:50:59.757192+00:00,generator,events_sent,19.0,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.15
2026-08-10 16:50:59.757192+00:00,generator,throughput_eps,441.49027495087694,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.15
2026-08-10 16:50:59.759192+00:00,generator,events_sent,20.0,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.16
2026-08-10 16:50:59.759192+00:00,detector,events_processed,2.0,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.16
2026-08-10 16:50:59.759192+00:00,generator,throughput_eps,444.22934392114377,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.16
2026-08-10 16:50:59.759192+00:00,detector,alerts_emitted,2.0,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.16
